series_id,model,omitted_point,c50,status
melo_a_oil_isopulegol,probit,melo_a_oil_isopulegol_1,130.7160744467137,descriptive refit; boundary=False
melo_b_oil_isopulegol,logistic,melo_b_oil_isopulegol_3,234.56253440510167,descriptive refit; boundary=False
melo_b_oil_isopulegol,logistic,melo_b_oil_isopulegol_4,260.61203048385636,descriptive refit; boundary=False
melo_b_isopulegol,probit,melo_b_isopulegol_1,,remaining points do not bracket 50%; fit withheld
melo_b_isopulegol,probit,melo_b_isopulegol_2,659.7096289912846,descriptive refit; boundary=False
melo_b_isopulegol,probit,melo_b_isopulegol_3,701.3896780175478,descriptive refit; boundary=False
melo_b_isopulegol,probit,melo_b_isopulegol_4,693.5141937928269,descriptive refit; boundary=False
melo_b_isopulegol,logistic,melo_b_isopulegol_1,,remaining points do not bracket 50%; fit withheld
melo_b_isopulegol,logistic,melo_b_isopulegol_2,657.7698207995439,descriptive refit; boundary=False
melo_b_isopulegol,logistic,melo_b_isopulegol_3,700.8243536109364,descriptive refit; boundary=False
melo_b_isopulegol,logistic,melo_b_isopulegol_4,693.3615774534367,descriptive refit; boundary=False
melo_b_oil_citral,probit,melo_b_oil_citral_1,217.17416231560097,descriptive refit; boundary=False
melo_b_oil_citral,probit,melo_b_oil_citral_2,219.99066605226233,descriptive refit; boundary=False
melo_b_oil_citral,probit,melo_b_oil_citral_3,211.56811065269844,descriptive refit; boundary=False
melo_b_oil_citral,probit,melo_b_oil_citral_4,,remaining points do not bracket 50%; fit withheld
melo_b_oil_citral,logistic,melo_b_oil_citral_1,218.19694990288815,descriptive refit; boundary=False
melo_b_oil_citral,logistic,melo_b_oil_citral_2,222.07877351352562,descriptive refit; boundary=False
melo_b_oil_citral,logistic,melo_b_oil_citral_3,216.06742480501853,descriptive refit; boundary=False
melo_b_oil_citral,logistic,melo_b_oil_citral_4,,remaining points do not bracket 50%; fit withheld
melo_b_citral,probit,melo_b_citral_1,289.0856356255622,descriptive refit; boundary=False
melo_b_citral,probit,melo_b_citral_2,281.93970584084525,descriptive refit; boundary=False
melo_b_citral,probit,melo_b_citral_3,282.5067969928,descriptive refit; boundary=False
melo_b_citral,probit,melo_b_citral_4,305.7392373192397,descriptive refit; boundary=False
melo_b_citral,probit,melo_b_citral_5,272.3748847610449,descriptive refit; boundary=False
melo_b_citral,logistic,melo_b_citral_1,291.9054706391732,descriptive refit; boundary=False
melo_b_citral,logistic,melo_b_citral_2,285.36718799072696,descriptive refit; boundary=False
melo_b_citral,logistic,melo_b_citral_3,287.58117647347706,descriptive refit; boundary=False
melo_b_citral,logistic,melo_b_citral_4,311.9434774729112,descriptive refit; boundary=False
melo_b_citral,logistic,melo_b_citral_5,276.12044369601205,descriptive refit; boundary=False
