source_species,month,disks_harvested_per_hour_mean,disks_harvested_per_hour_sd,ant_colonies_per_reported_mean,nonpolar_extract_deterrence_class,pdf_page,source,fungal_inhibition,notes
Sapranthus palanga,8,0.0,0.0,3,3,8,howard1987_supplement,,
Schoepfia schreiberi,6,6.33,5.51,3,1,8,howard1987_supplement,,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Schoepfia schreiberi,7,0.67,0.58,3,1,8,howard1987_supplement,,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Schoepfia schreiberi,8,1.33,1.52,3,1,8,howard1987_supplement,,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Spondias mombin,6,65.33,22.12,3,0,8,howard1987_supplement,,
Spondias mombin,7,60.33,21.5,3,0,8,howard1987_supplement,,
Spondias mombin,8,34.33,26.76,3,0,8,howard1987_supplement,,
Spondias purpurea,6,32.33,28.57,3,0,8,howard1987_supplement,,
Spondias purpurea,7,27.33,6.51,3,0,8,howard1987_supplement,,
Spondias purpurea,8,36.0,19.47,3,0,8,howard1987_supplement,,
Stachytarpheta jamaicensis,6,2.67,2.51,3,1,8,howard1987_supplement,,
Stachytarpheta jamaicensis,7,1.0,1.0,3,1,8,howard1987_supplement,,
Stachytarpheta jamaicensis,8,0.67,1.15,3,1,8,howard1987_supplement,,
Stemmadenia obovata,6,10.0,4.0,3,3,8,howard1987_supplement,,
Stemmadenia obovata,7,1.33,1.15,3,3,8,howard1987_supplement,,
Stemmadenia obovata,8,2.67,2.08,3,3,8,howard1987_supplement,,
Trichilia martiana,6,8.33,11.93,3,1,8,howard1987_supplement,,Source footnote: identified by R. Liesner; synonymous with T. cuneata in Janzen and Liesner (1980). Modern synonymy not reviewed.
Trichilia martiana,7,1.67,1.53,3,1,8,howard1987_supplement,,Source footnote: identified by R. Liesner; synonymous with T. cuneata in Janzen and Liesner (1980). Modern synonymy not reviewed.
Trichilia martiana,8,1.33,2.31,3,1,8,howard1987_supplement,,Source footnote: identified by R. Liesner; synonymous with T. cuneata in Janzen and Liesner (1980). Modern synonymy not reviewed.
Verbesina gigantea,6,4.0,6.93,3,3,9,howard1987_supplement,,
Verbesina gigantea,7,0.0,0.0,3,3,9,howard1987_supplement,,
Verbesina gigantea,8,0.0,0.0,3,3,9,howard1987_supplement,,
Zanthoxylum setulosum,6,12.33,14.74,3,2,9,howard1987_supplement,,
Zanthoxylum setulosum,7,0.33,0.58,3,2,9,howard1987_supplement,,
Zanthoxylum setulosum,8,5.33,7.57,3,2,9,howard1987_supplement,,
