point_id,series_id,panel,material,x_pixel,y_pixel,pixel_tolerance,dose,unit,inhibition_fraction,provenance,marker_note
melo_b_oil_isopulegol_1,melo_b_oil_isopulegol,b,"Myrcia lundiana oil, isopulegol chemotype",804.87,1617.87,3,39.892496799795616,µL treatment/L culture medium,0.2563961661341854,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_isopulegol_2,melo_b_oil_isopulegol,b,"Myrcia lundiana oil, isopulegol chemotype",995.76,1386.91,3,399.59970949563694,µL treatment/L culture medium,0.551552715654952,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_isopulegol_3,melo_b_oil_isopulegol,b,"Myrcia lundiana oil, isopulegol chemotype",1053.1,1299.08,3,798.4138227499083,µL treatment/L culture medium,0.6637955271565497,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_isopulegol_4,melo_b_oil_isopulegol,b,"Myrcia lundiana oil, isopulegol chemotype",1099.39,1200.0,3,1396.0523492797156,µL treatment/L culture medium,0.7904153354632588,"digitized visible marker, not original raw datum",distinct marker
melo_b_isopulegol_1,melo_b_isopulegol,b,"Isopulegol, assay stereochemistry unresolved",1029.5,1483.5,3,600.4901635817247,µL treatment/L culture medium,0.4281150159744409,"digitized visible marker, not original raw datum",distinct marker
melo_b_isopulegol_2,melo_b_isopulegol,b,"Isopulegol, assay stereochemistry unresolved",1052.95,1402.54,3,796.9694565299252,µL treatment/L culture medium,0.5315782747603834,"digitized visible marker, not original raw datum",distinct marker
melo_b_isopulegol_3,melo_b_isopulegol,b,"Isopulegol, assay stereochemistry unresolved",1071.71,1202.38,3,999.5172677782946,µL treatment/L culture medium,0.7873738019169327,"digitized visible marker, not original raw datum",distinct marker
melo_b_isopulegol_4,melo_b_isopulegol,b,"Isopulegol, assay stereochemistry unresolved",1099.5,1076.5,3,1397.9073065010655,µL treatment/L culture medium,0.9482428115015974,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_citral_1,melo_b_oil_citral,b,"Myrcia lundiana oil, citral chemotype",690.21,1762.12,3,9.995172677782946,µL treatment/L culture medium,0.07205111821086276,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_citral_2,melo_b_oil_citral,b,"Myrcia lundiana oil, citral chemotype",805.04,1648.59,3,39.97444453736231,µL treatment/L culture medium,0.2171373801916934,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_citral_3,melo_b_oil_citral,b,"Myrcia lundiana oil, citral chemotype",862.44,1577.38,3,79.92816986544965,µL treatment/L culture medium,0.3081405750798721,"digitized visible marker, not original raw datum",distinct marker
melo_b_oil_citral_4,melo_b_oil_citral,b,"Myrcia lundiana oil, citral chemotype",1029.37,1279.88,3,599.548578266853,µL treatment/L culture medium,0.6883322683706069,"digitized visible marker, not original raw datum",distinct marker
melo_b_citral_1,melo_b_citral,b,"Citral, assay isomer composition unspecified",805.0,1745.5,3,39.95514758493935,µL treatment/L culture medium,0.09329073482428114,"digitized visible marker, not original raw datum",distinct marker
melo_b_citral_2,melo_b_citral,b,"Citral, assay isomer composition unspecified",838.54,1733.95,3,59.896987514548194,µL treatment/L culture medium,0.10805111821086257,"digitized visible marker, not original raw datum",distinct marker
melo_b_citral_3,melo_b_citral,b,"Citral, assay isomer composition unspecified",862.5,1690.5,3,79.98608066282742,µL treatment/L culture medium,0.1635782747603834,"digitized visible marker, not original raw datum",distinct marker
melo_b_citral_4,melo_b_citral,b,"Citral, assay isomer composition unspecified",995.5,1334.5,3,398.34752502972594,µL treatment/L culture medium,0.6185303514376996,"digitized visible marker, not original raw datum",distinct marker
melo_b_citral_5,melo_b_citral,b,"Citral, assay isomer composition unspecified",1053.5,1225.5,3,802.2782763331211,µL treatment/L culture medium,0.7578274760383387,"digitized visible marker, not original raw datum",distinct marker
