source_species,source,pdf_page,nonpolar_extract_deterrence_class,months_observed,mean_harvest_across_reported_months,purpose,source_pdf,notes
Coccoloba venosa,howard1987_supplement,4,3,3,1.6666666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Cordia alliodora,howard1987_supplement,4,2,3,2.6666666666666665,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Crescentia alata,howard1987_supplement,4,2,3,15.89,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=4,
Enterolobium cyclocarpum,howard1987_supplement,5,1,3,3.78,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Eugenia salamensis,howard1987_supplement,5,1,3,8.666666666666666,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Ficus goldmani,howard1987_supplement,5,0,3,30.55666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Genipa americana,howard1987_supplement,5,3,3,6.886666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Gouania polygama,howard1987_supplement,5,2,3,0.7766666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Guazuma ulmifolia,howard1987_supplement,5,2,3,3.223333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Guettarda macrosperma,howard1987_supplement,5,3,3,9.89,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Hamelia patens,howard1987_supplement,5,3,3,9.11,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=5,
Hemiangium excelsum,howard1987_supplement,6,2,3,8.553333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Hymenaea courbaril,howard1987_supplement,6,3,3,10.776666666666666,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Inga vera,howard1987_supplement,6,1,3,4.443333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Jacquinia pungens,howard1987_supplement,6,1,1,5.0,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,June only: source says leaves present only during June
Lasianthea fruticosa,howard1987_supplement,6,2,3,6.0,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Luehea candida,howard1987_supplement,6,3,3,3.78,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Luehea speciosa,howard1987_supplement,6,3,3,9.553333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Malvaviscus arboreus,howard1987_supplement,6,2,3,1.6666666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=6,
Melochia nodiflora,howard1987_supplement,7,2,3,6.553333333333332,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Muntingia calabura,howard1987_supplement,7,3,3,4.89,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Ocotea veraguensis,howard1987_supplement,7,3,3,1.11,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Paullinia cururu,howard1987_supplement,7,3,3,2.6666666666666665,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Pisonia macranthocarpa,howard1987_supplement,7,3,3,4.553333333333334,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Psidium guajava,howard1987_supplement,7,3,3,6.666666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Psychotria nervosa,howard1987_supplement,7,3,3,0.22,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Randia echinocarpa,howard1987_supplement,7,1,3,5.333333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=7,
Sapium thelocarpum,howard1987_supplement,8,0,3,25.55666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,
Sapranthus palanga,howard1987_supplement,8,3,3,2.8866666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,
Schoepfia schreiberi,howard1987_supplement,8,1,3,2.776666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,Rendered page has a horizontal artifact near this plant; obscured values cross-read from the PDF text layer.
Spondias mombin,howard1987_supplement,8,0,3,53.330000000000005,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,
Spondias purpurea,howard1987_supplement,8,0,3,31.886666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,
Stachytarpheta jamaicensis,howard1987_supplement,8,1,3,1.4466666666666665,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,
Stemmadenia obovata,howard1987_supplement,8,3,3,4.666666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,
Trichilia martiana,howard1987_supplement,8,1,3,3.776666666666667,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=8,Source footnote: identified by R. Liesner; synonymous with T. cuneata in Janzen and Liesner (1980). Modern synonymy not reviewed.
Verbesina gigantea,howard1987_supplement,9,3,3,1.3333333333333333,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=9,
Zanthoxylum setulosum,howard1987_supplement,9,2,3,5.996666666666666,chemical deterrence discovery lead; no fungal activity established by this table,../../sources/howard1987_supplement.pdf#page=9,
