species,growth_form,status_colony_I_1993_94,evidence,original_source,original_url,local_provenance,candidate_status
Luehea seemannii,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Maquira costaricana,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Ocotea cernua,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Oenocarpus panamanus,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Phoebe mexicana,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Posoqueria latifolia,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Quassia amara,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Randia armata,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Socratea durissima,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Thevetia ahouai,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Tovomitopsis nicaraguensis,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Trophis racemosa,tree,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Arrabidaea patellifera,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Banisteriopsis cornifolia,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Ficus pertusa,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Hiraea grandifolia,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Hiraea sp.,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Omphalea diandra,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Prionostemma aspera,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
Tetracera hydrophila,liana,NEVER HARVESTED,Local transcription of non-harvest; no chemical/cultivar inference,"Wirth et al. 2003, Tables 11 and 15; independently recheck",https://doi.org/10.1007/978-3-662-05259-4,/Users/seth/Dropbox/ObsidianVault/anty fungals/data/wirth2003_bci_plot_vs_harvest.csv,"Exploratory only; abundance, accessibility and traits confounded"
