source_id,title,authors,year,language,document_type,doi,original_url,local_file,validation_status,notes
bicalho2012,"Evaluation of the Toxicity of Virola sebifera Crude Extracts, Fractions and Isolated Compounds on the Nest of Leaf-Cutting Ants",K. Bicalho; A. Terezan; D. Martins; T. Freitas; J. Fernandes; Maria Fátima das Graças Fernandes da Silva; P. Vieira; F. C. Pagnocca; O. Bueno,2012,English,Journal article,10.1155/2012/785424,https://doi.org/10.1155/2012/785424,,Indexed abstract checked; linked thesis results checked,Related Bicalho 2011 thesis supplies the numerical lignan assays; not independent replication.
carlos2018,Virola sebifera Aubl. (Myristicaceae) leaf chemical composition and implications on leaf-cutter ant foraging choice,A. A. Carlos; Karla Silva Malaquias; Rafael C. Consolmagno; A. Sarria; J. Fernandes; O. Bueno,2018,English,Journal article,10.1007/s11829-017-9582-9,https://doi.org/10.1007/s11829-017-9582-9,sources/carlos2018.pdf,Original full text: relevant methods/results checked,Leaf age and trichome manipulation affect Virola acceptance; not universally rejected.
godoy2005,Inhibition of the symbiotic fungus of leaf-cutting ants by coumarins,Marizete F. P. Godoy; S. R. Victor; A. Bellini; Gisleine Guerreiro; W. Rocha; O. Bueno; M. A. Hebling; M. Bacci; M. Silva; P. Vieira; João Batista Fernandes; F. C. Pagnocca,2005,English,Journal article,10.1590/S0103-50532005000400031,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf,Original full text: relevant methods/results checked,PDF p.2 identifies plant organs and compounds; p.3 Table 1 has assay results. Xanthyletin differs from xanthoxyletin.
biavatti2002,Biological Activity of Quinoline Alkaloids from Raulinoa echinata and X-ray Structure of Flindersiamine,"Biavatti, M. W.; et al.",2002,English,Journal article,10.1590/S0103-50532002000100010,https://doi.org/10.1590/S0103-50532002000100010,sources/raulinoa2002.pdf,Original full text: relevant methods/results checked,Table 1 uses µg/mL; discussion has mg/mL typo. Kokusaginine is spelled Kokusagine in table.
almeida2007,Toxicity of Substances Isolated from Helietta puberula RE Fr. (Rutaceae) to the Leaf-cutting Ant Atta sexdens L. (Hymenoptera: Formicidae) and the Symbiotic Fungus Leucoagaricus gongylophorus (Singer) Möller,Roberta N. A. Almeida; M. Peñaflor; S. Y. Simote; O. Bueno; M. A. Hebling; F. C. Pagnocca; J. Fernandes; P. Vieira; M. F. G. F. Silva,2007,English,Journal article,10.14295/BA.V2.0.53,https://doi.org/10.14295/BA.V2.0.53,sources/helietta2007.pdf,Original full text: relevant methods/results checked,PDF explicitly published 22 February 2007; current web metadata says 2009. Methods say 50 µg/mL molecules; Table 1 says 100 µg/mL. Preserve dose conflict.
penaflor2009,Toxicidade de Substâncias Isoladas de Simarouba versicolor St. Hil. (Simaroubaceae) para Formigas Cortadeiras Atta sexdens L. (Hymenoptera: Formicidae) e para o seu Fungo Simbionte Leucoagaricus gongylophorus (Singer) Möller,M. F. G. V. Peñaflor; R. Almeida; S. Y. Simote; Erica Yamane; O. C. Bueno; M. J. A. Hebling; J. B. Fernandes; P. C. Vieira; Maria Fátima das Garças Fernandes da Silva; F. C. Pagnocca,2009,English; Portuguese title/abstract,Journal article,10.14295/BA.V4.0.24,https://doi.org/10.14295/BA.V4.0.24,sources/simarouba2009.pdf,Original full text: relevant methods/results checked,"Methods/table conflict: isolated compounds 50 vs 100 µg/mL, fractions 200 vs 300 µg/mL. Tables 1–2 read."
souza2005,A New Imidazole Alkaloid and Other Constituents from Pilocarpus grandiflorus and their Antifungal Activity,Rejane C. de Souza; João Batista Fernandes; P. Vieira; M. D. da Silva; Marizete F. P. Godoy; F. C. Pagnocca; O. Bueno; M. A. Hebling; J. Pirani,2005,English,Journal article,10.1515/znb-2005-0715,https://doi.org/10.1515/znb-2005-0715,sources/souza2005.pdf,Original full text: relevant methods/results checked,PDF 3 Table 3 checked:11 compounds plus DCM stem extract. Vanillic acid/syringaldehyde/platydesmine80% at 50 µg/mL; six tabulated compound nulls. New imidazole compound 1 not in activity table. Method refers to Pagnocca1990; related Godoy thesis may overlap.
terezan2010,Activities of Extracts and Compounds from Spiranthera odoratissima St. Hil. (Rutaceae) in Leaf-cutting Ants and their Symbiotic Fungus,"Terezan, A. P.; et al.",2010,English,Journal article,10.1590/S0103-50532010000500016,https://doi.org/10.1590/S0103-50532010000500016,,Discovery lead: original results require validation,Original related 2007 doctoral thesis retrieved and checked; paper not counted as independent replication.
boulogne2012,Acromyrmex octospinosus (Hymenoptera: Formicidae) Management: Effects of TRAMILs Fungicidal Plant Extracts,I. Boulogne; H. Ozier-Lafontaine; L. Germosén-Robineau; L. Desfontaines; G. Loranger-Merciris,2012,English,Journal article,10.1603/EC11313,https://doi.org/10.1603/EC11313,sources/boulogne2012.pdf,Original full text: relevant methods/results checked,"Supplied original PDF 2–5 checked. Freeze-dried plant parts; three concentrations 500/1000/2000 µg/mL, solid area/liquid biomass and MTT. Table 3 IC50/IC99 with CIs verified; some estimates extrapolated. Fit does not explicitly separate solid/liquid endpoints. MTT is a metabolic proxy, not a recovery assay."
morais2015,"Extracts of Ageratum conyzoides, Coriandrum sativum and Mentha piperita inhibit the growth of the symbiotic fungus of leaf-cutting ants","Morais, W. C. C.; Lima, M. A. P.; Zanuncio, J. C.; Oliveira, M. A.; Bragança, M. A. L.; Serrão, J. E.; Della Lucia, T. M. C.",2015,English,Journal article,10.1016/J.INDCROP.2014.10.054,https://doi.org/10.1016/j.indcrop.2014.10.054,,Original article abstract checked; related original 2012 thesis fungal chapter checked,"UFV article repository lists PDF but download leads to login; publisher full text not retrieved. Original2012 thesis chapter 2 has same 81/93/100,23/27/100,96/99/100% results. Thesis describes25/50/100 mg/mL STOCK plus1 mL into9 mL medium: nominal final2.5/5/10 mg/mL. Hold quantitative potency pooling until article or author resolves dose basis. Coriander low-dose effects not significant; assays likely overlap."
lobo2016,Effects of Capsicum baccatum and C. frutescens against Atta cephalotes and the symbiotic fungus Leucoagaricus gongylophorus,"Lobo-Echeverri, T.; Salazar, L. C.; Hernández, A.; Ortiz-Reyes, A.",2016,English; Spanish title/abstract,Journal article,10.25100/socolen.v42i2.6684,https://revistacolombianaentomologia.univalle.edu.co/index.php/SOCOLEN/article/view/6684,,Original abstract checked; full methods not checked,Original journal record and PDF first page checked. Do not equate leaf extract with fruit capsaicin.
lobo2020papaya,Inhibition of Leucoagaricus gongylophorus with Carica papaya: an alternative to control the leaf-cutter ant Acromyrmex octospinosus,Tatiana Lobo-Echeverri; Víctor Galindo; Pilar Aubad; A. Ortiz-Reyes; L. Preciado; Mauricio Sánchez; J. Jiménez; O. Thomas,2020,English,Journal article,10.1080/09670874.2019.1610812,https://doi.org/10.1080/09670874.2019.1610812,sources/lobo2020papaya.pdf,Original full text: relevant methods/results checked,"Supplied EBSCO file identified. Leaf extracts 100% inhibition at 2.5 mg/mL; squalene 25.67%, carpaine 27.67%,1:1 mixture41.86% at labelled0.5 mg/mL. Commercial quercetin had no effect; isolated glycosides were not tested. Combination result is not formal synergy; mixture dose basis unclear. Field formulations separate from pure-compound assay."
melo2020,Synergistic effect of aromatic plant essential oils on the ant Acromyrmex balzani (Hymenoptera: Formicidae) and antifungal activity on its symbiotic fungus Leucoagaricus gongylophorus (Agaricales: Agaricaceae),Carlisson R. Melo; B. M. S. Oliveira; A. C. Santos; J. Silva; G. T. Ribeiro; A. Blank; A. P. Araújo; L. Bacci,2020,English,Journal article,10.1007/s11356-020-08170-z,https://doi.org/10.1007/s11356-020-08170-z,sources/melo2020.pdf,Original full text: relevant methods/results checked,"PDF 2,4–5,8–9 checked. Citral IC50 31.7 µL/L AIR versus289.9 µL/L MEDIUM. Myrcia isopulegol/citral chemotypes distinct; purchased/synthesized compounds distinguished from oils. A.trilobata STEM oil and several compounds null at screening limits. Contact dose conflict1400 in methods versus>1000 bound in results. Citral123.21 µL/L air prevented regrowth after transfer; ant-mixture synergy kept separate."
ferns2024,Chemical analysis and hydroalcoholic extract activity of ferns on the mutualist fungus of leafcutter ants,Isabella Rodrigues Lancellotti; F. V. Araújo; L. Rocha; Marcelo Guerra Santos,2024,English,Journal article,10.1590/2175-7860202475023,https://doi.org/10.1590/2175-7860202475023,sources/ferns2024.pdf,Original full text: relevant methods/results checked,Dry-period extracts at 5 mg/mL versus 100 µg/mL; chemical TLC profile does not establish active molecule.
infante2026,"Selection of leaves of Palicourea padifolia, Platanus mexicana and Eriobotrya japonica by Atta mexicana (Hymenoptera: Formicidae) and its influence on the growth of the mutualistic fungus Leucoagaricus gongylophorus",D. A. Infante-Rodríguez; A. C. Velázquez-Narváez; M. J. Aguilar-Méndez; Luis Javier Fuentes-Jacques; J. L. Monribot-Villanueva; J. A. Guerrero-Analco; J. Valenzuela-González,2026,English,Journal article,10.17129/botsci.3671,https://doi.org/10.17129/botsci.3671,sources/infante2026.pdf,Original full text: relevant methods/results checked,Volume 104(1):81–97. PDF says online 25 November 2026 despite acceptance September 2025; date inconsistent with access on 12 September 2026. Results also print P>0.05 alongside significant: verify.
oils2026,Selectively Targeting of Gardeners and Symbiotic Fungus in Leaf-Cutting Ant Colonies Using Essential Oils,Andressa Graebin; P. Pinheiro; K. D. Amaral; V. Santos; Tarciza F. Nascimento; Marcela V. de S. Vilela; Yenara K. M. Silva; Thais D. Marcelino; R. Guedes,2026,English,Journal article,10.3390/insects17060645,https://doi.org/10.3390/insects17060645,,Original full text: relevant methods/results checked,"Full JATS original retrieved via Europe PMC (raw/oils2026.xml), §§2.5,3.4 checked. Doses are application-solution concentrations; 100 µL spread on 10 mL agar, not uniform bulk-medium concentrations."
enforced2009,"Enforced herbivory on Canavalia ensiformis and Tithonia diversifolia and its effects on leaf‐cutting ants, Atta cephalotes",E. I. Valderrama-Eslava; J. Montoya-Lerma; C. Giraldo,2009,English,Journal article,10.1111/j.1439-0418.2009.01421.x,https://doi.org/10.1111/j.1439-0418.2009.01421.x,,Original abstract checked; full methods not checked,Enforced plant diet and garden deterioration do not isolate chemical toxicity from starvation/poor substrate.
araujo2022,The Symbiotic Fungus Leucoagaricus gongylophorus as a Target Organism to Control Leaf-Cutting Ants,"Araújo, Sean; Seibert, Janaína; Ruani, Ana; Alcántara-de la Cruz, Ricardo; Cruz, Artur; Pereira, Alana; Zandonai, Doraí; Forim, Moacir; Silva, Maria Fátima; Bueno, Odair; Fernandes, João",2022,English,Review,10.3390/insects13040359,https://pmc.ncbi.nlm.nih.gov/articles/PMC9029082/,sources/araujo2022.pdf,Full-text review used for discovery,"Supplied PDF of previously consulted open review added; first author corrected to Sean Araújo. Review is a discovery source, not a new experiment. Numerical and compound-identity claims must be checked against originals."
aredes2018,Fatores que influenciam a seletividade de plantas pela formiga-cortadeira Atta sexdens (Hymenoptera: Formicidae),"Arêdes, Anália",2018,Portuguese,Doctoral thesis,,https://uenf.br/posgraduacao/producao-vegetal/wp-content/uploads/sites/10/2019/02/TESE-final-An%C3%A1lia-Ar%C3%AAdes.pdf,sources/aredes_thesis.pdf,Original full text: relevant methods/results checked,UENF. Chapter 3.2; printed pp.42–49 / PDF pp.55–62. Gallesia lower numerically but shares Tukey letter with control in Fig.3.
bicalho2011,Estudo fitoquímico de Virola sebifera associado ao controle de formigas cortadeiras,"Bicalho, Keylla Utherdyany",2011,Portuguese,Master’s dissertation,,https://repositorio.ufscar.br/handle/20.500.14289/6502,sources/virola_thesis.pdf,Original full text: relevant methods/results checked,UFSCar. Results printed pp.133–135 / PDF pp.155–157; kusunokinin 100% at 120 µg/mL. Do not infer all flavonoids active.
godoy2003,Atividade de extratos vegetais e seus derivados sobre o crescimento do fungo simbionte de Atta sexdens L. e outros microrganismos,"Godoy, Marizete de Fátima Pimentel",2003,Portuguese,Master’s dissertation,,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf,Original full text: relevant methods/results checked,"UNESP Rio Claro, January 2003. Candidate fractions in Tables 2,4,7,9,11,15–17. Keep cultivar assays separate from antibacterial tables."
terezan2007,Estudo químico de Spiranthera odoratissima e atividades biológicas em formigueiros de Atta sexdens rubropilosa,"Terezan, Ana Paula",2007,Portuguese,Doctoral thesis,,https://repositorio.ufscar.br/server/api/core/bitstreams/4deaae0b-4c69-4081-ace3-35baa2d01880/content,sources/spiranthera_thesis.pdf,Original full text: relevant methods/results checked,"UFSCar. Methods PDF 49: 8–10 tubes plus solvent/general controls, 30 days. PDF 137–138: branch extracts 100% at 1000 µg/mL; dictamnine and gamma-fagarine 100%, skimmianine 80% at 50 µg/mL. Leaf extracts only 20%."
santos2013,Toxicidade de extratos vegetais e suas frações para Atta sexdens e seu fungo simbionte Leucoagaricus gongylophorus,"Santos, Juliana Cristina dos",2013,Portuguese,Doctoral thesis,,https://repositorio.ufla.br/handle/1/1614,sources/santos2013.pdf,Original full text: relevant methods/results checked,"UFLA, defended 1 March 2013; repository year 2014 is deposit metadata. Croton/Zanthoxylum fractions affect biomass and gongylidia differently; solvent controls matter."
boulogne2011,Évaluation du potentiel insecticide et antifongique sur Acromyrmex octospinosus (Reich) d’une sélection de plantes à usages ethnopharmacologiques TRAMIL,"Boulogne, Isabelle",2011,French,Doctoral thesis,,https://theses.fr/2011AGUY0469,sources/boulogne_thesis.pdf,Original thesis retrieved; partial inspection only,183 PDF pages. Embedded character mapping damages text extraction; numerical results need visual/OCR validation. Related to Boulogne 2012 paper.
stephan2010,Perzeption und Effekte von herbivorieinduzierten Pflanzenvolatilen auf Blattschneiderameisen und ihren symbiotischen Pilz,"Stephan, Jörg",2010,German,Diplom thesis,,https://kluedo.ub.rptu.de/files/2239/Diplomarbeit.pdf,sources/stephan2010.pdf,Original full text: relevant methods/results checked,"TU Kaiserslautern. Printed pp.45–49 / PDF 49–53. Model Phaseolus lunatus; synthetic volatile mixture and components, contamination reduced replicate counts."
nally2025,Preferencia de recolección de la hormiga cortadora de hojas Acromyrmex ambiguus por plantas nativas: bases físico-químicas y sensoriales,"Nally, María Ayelen",2025,Spanish,Doctoral thesis,,https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n7720_Nally.pdf,sources/nally_thesis.pdf,Original thesis: cover and selected preference results checked,"UBA, defended 1 April 2025; eight native plants. Preference alone does not establish cultivar toxicity."
eafit_report,Efecto de extractos etanólicos vegetales sobre el crecimiento in vitro de Leucoagaricus gongylophorus,"Jiménez-Londoño, David; Farfán-Villanueva, Diana P.; Pinel, Nicolás",undated,Spanish,University research report/manuscript,,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf,Original full text: relevant methods/results checked,20 pages; date/degree not verified. Ten plant extracts at 2% v/v; solvent itself inhibits. Tables 1–3 and methods inspected. Cannot rank dose-normalized potency.
kitamura2011,Inibição do fungo simbionte Leucoagaricus gongylophorus,"Kitamura, Rodrigo O. Saga; Terezan, A. P.; Cardoso, S. P.; et al.",2011,Portuguese,Conference abstract,,https://www.sbq.org.br/34ra/cdrom/resumos/T2230-1.pdf,sources/sbq2011.pdf,Original full text: relevant methods/results checked,"34ª Reunião Anual SBQ, T2230-1. Thyrsodium schomburgkianum and Picramnia bahiensis; assay doses not supplied on abstract."
febvay1985,Antiappétants pour la fourmi attine Acromyrmex octospinosus chez certaines espèces d’igname cultivées aux Antilles,"Febvay, Gérard; Bourgeois, Paul; Kermarrec, Alain",1985,French,Journal article,,https://hal.inrae.fr/hal-02726165,sources/febvay1986.pdf,Original full text: relevant methods/results checked,Agronomie 5(5):439–444. Saved filename is legacy; original HAL wrapper says 1985. Some indexes incorrectly say 1986. Saponin hypothesis; no isolated-cultivar proof established here.
oiano2026,In vitro growth inhibition of the leaf-cutting ants’ symbiotic fungus Leucoagaricus gongylophorus by different crude extracts,"Oiano Neto, J.; Zandonai, D. P.; Matos, C. H. C.; Fernandes, J. B.; Silva, M. F. G. F.",2026,English,Conference abstract,,https://www.alice.cnptia.embrapa.br/handle/doc/1189406,,Original institutional abstract checked,"49ª Reunião Anual SBQ p.1136. Lavender decoction fraction 86%, Pinus resin fractions 54–56%; species/doses unverified. Pycnoporus is fungal, not a plant."
carlos2013,Semioquímicos e comunicação sonora em formigas cortadeiras,"Carlos, Adriana Aparecida",2013,Portuguese,Doctoral thesis,,https://repositorio.unesp.br/items/42f09a94-f98f-4546-9c59-b30381020c4e,,Repository/catalogue discovery; full results not checked,Plant waxes and Virola/Tocoyena/Schefflera/Acalypha; retrieve chapter tables.
nobua2014,Interacciones tróficas entre dos especies simpátricas de hormigas cortadoras y el ensamble de plantas en el Monte central,"Nobua Behrmann, Beatriz E.",2014,Spanish,Doctoral thesis,,https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n5456_NobuaBehrmann.pdf,,Repository/catalogue discovery; full results not checked,Plant availability and diet; no candidate chemistry inferred.
jimenez2019,Patrones de herbivoría y coocurrencia de hormigas cortadoras de hojas en el Bajo Delta del Río Paraná,"Jiménez, Nadia Lis",2019,Spanish,Doctoral thesis,,https://bibliotecadigital.exactas.uba.ar/collection/tesis/document/tesis_n6700_Jimenez,,Repository/catalogue discovery; full results not checked,Chapter IV plant preferences; original full results pending.
perri2015,Vegetación espontánea preferida por hormigas cortadoras en plantaciones de Salicáceas del Delta del Paraná,Perri; et al.,2015,Spanish,Conference contribution,,https://sedici.unlp.edu.ar/handle/10915/52986,,Repository/catalogue discovery; full results not checked,"Preference controls: Sonchus oleraceus, Amorpha fruticosa, Iris pseudacorus, Ligustrum sinense, Phytolacca americana."
ridley1994,Mechanisms directing host plant selection in leaf-cutting ants,"Ridley, Philip Stephen",1994,English,Doctoral thesis,,https://eprints.soton.ac.uk/458642/,,Repository/catalogue discovery; full results not checked,Southampton record; no downloadable full text available at record.
saverschek2010thesis,The influence of the symbiotic fungus on foraging decisions in leaf-cutting ants: Individual behavior and collective patterns,"Saverschek, Nicole",2010,English/German,Doctoral thesis,,https://d-nb.info/1008765759,,Repository/catalogue discovery; full results not checked,Title/author checked against indexed original PDF cover; local download failed TLS certificate validation.
melo2019,Bioatividade de óleos essenciais e seus compostos majoritários sobre formiga cortadeira e seu fungo simbionte,"Melo, Carlisson Ramos",2019,Portuguese,Doctoral thesis,,https://www.sigaa.ufs.br/sigaa/public/programa/defesas.jsf?id=876&lc=pt_BR,,Repository/catalogue discovery; full results not checked,"UFS defense catalogue, 28 February 2019. Locate dissertation file; related to 2020 paper."
sousa2019,Resposta comportamental de formigas cortadeiras a substância química inseticida e fungicida,"Sousa, Kátia Kaelly Andrade",2019,Portuguese,Master’s dissertation,,https://repositorio.unesp.br/entities/publication/a7d9a869-4a71-4e5e-bbc5-1a04b15db358,,Repository/catalogue discovery; full results not checked,Cycloheximide mechanism; not a natural-plant hit.
ribeiro_ib,Atividade formicida de IB 151239 em Atta sexdens rubropilosa,"Ribeiro, Myriam Marques Ramos",unverified,Portuguese,Doctoral thesis,,https://locus.ufv.br/bitstreams/211f91c5-b0b2-4eb3-b421-2b1a49e2e670/download,,Repository/catalogue discovery; full results not checked,Plant code IB151239 unresolved; cannot map chemicals to a named species.
leberecht2017,Cutting effort and avoidance learning of tough plants in leaf-cutting ants Acromyrmex lundii,"Leberecht, Bo",2017,English,Master’s thesis,,https://www.biozentrum.uni-wuerzburg.de/zoo2/lehre/abgeschlossene-thesen/,,Repository/catalogue discovery; full results not checked,Department catalogue only; toughness confound.
wagner2019,Chemical interactions between leaf-cutting ants and their mutualistic fungus,"Wagner-Nagy, Mathias",2019,English,Master’s thesis,,https://www.biozentrum.uni-wuerzburg.de/zoo2/lehre/abgeschlossene-thesen/,,Repository/catalogue discovery; full results not checked,Department catalogue only.
klimek2023,Unterscheiden Blattschneiderameisen zwischen verschiedenen Ernährungszuständen ihres symbiotischen Pilzes?,"Klimek, Janika",2023,German,Bachelor’s thesis,,https://www.biozentrum.uni-wuerzburg.de/zoo2/lehre/abgeschlossene-thesen/,,Repository/catalogue discovery; full results not checked,Department catalogue only; fungal nutrition/choice mechanism.
s2_017bef2448,Delayed rejection in a leaf-cutting ant after foraging on plants unsuitable for the symbiotic fungus,H. Herz; B. Hölldobler; F. Roces,2008,Not checked,Indexed literature record (type to verify),10.1093/BEHECO/ARN016,https://doi.org/10.1093/BEHECO/ARN016,,Discovery lead: original results require validation,"Retained for broader screening on plant choice, rejection, chemical defense, nutrition, physical traits, endophytes, or historical literature. Source metadata not comprehensively corrected."
s2_08fb5fa892,The effect of wilting on the selection of leaves by the leaf‐cutting ant Atta laevigata,H. Vasconcelos; J. M. Cherrett,1996,Not checked,Indexed literature record (type to verify),10.1111/j.1570-7458.1996.tb00784.x,https://doi.org/10.1111/j.1570-7458.1996.tb00784.x,,Discovery lead: original results require validation,"Retained for broader screening on plant choice, rejection, chemical defense, nutrition, physical traits, endophytes, or historical literature. Source metadata not comprehensively corrected."
