source_id,margin_percentage_points,lower_threshold_compound,higher_or_unreached_threshold_compound,lower_compound_id,higher_compound_id,upper_of_lower,lower_of_higher,interpretation,source_url,local_pdf
souza2005,0,Syringaldehyde,Germanicol,C024,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Syringaldehyde,β-Amyrin,C024,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Syringaldehyde,β-Sitosterol,C024,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Syringaldehyde,Stigmast-4-en-3-one,C024,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Syringaldehyde,3β-Hydroxystigmast-5-en-7-one,C024,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Syringaldehyde,Syringaresinol,C024,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Syringaldehyde,1-Methyl-4-methoxy-2-quinolone,C024,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,Germanicol,C025,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,β-Amyrin,C025,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,β-Sitosterol,C025,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,Stigmast-4-en-3-one,C025,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,3β-Hydroxystigmast-5-en-7-one,C025,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,Syringaresinol,C025,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Vanillic acid,1-Methyl-4-methoxy-2-quinolone,C025,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,Germanicol,C028,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,β-Amyrin,C028,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,β-Sitosterol,C028,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,Stigmast-4-en-3-one,C028,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,3β-Hydroxystigmast-5-en-7-one,C028,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,Syringaresinol,C028,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,0,Platydesmine,1-Methyl-4-methoxy-2-quinolone,C028,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
coumarins2005,0,Suberosin,Angelicin,C037,C036,64.0,72.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Suberosin,Clausarin,C037,C039,64.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Xanthoxyletin,Angelicin,C038,C036,70.0,72.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Xanthoxyletin,Clausarin,C038,C039,70.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Umbelliferone,Angelicin,C041,C036,65.0,72.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Umbelliferone,Clausarin,C041,C039,65.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Xanthyletin,Angelicin,C042,C036,25.0,72.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,Xanthyletin,Clausarin,C042,C039,25.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,0,"7-Hydroxy-3-(1,1-dimethylallyl)-8-methoxycoumarin",Clausarin,C043,C039,75.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
raulinoa2002,0,Skimmianine,Kokusaginine,C045,C046,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532002000100010,../../sources/raulinoa2002.pdf
raulinoa2002,0,Skimmianine,Maculine,C045,C047,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532002000100010,../../sources/raulinoa2002.pdf
raulinoa2002,0,Skimmianine,2-n-Nonyl-4-quinolone,C045,C049,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532002000100010,../../sources/raulinoa2002.pdf
howard1988terpenoids,10,Caryophyllene oxide,Kolavenol,C003,C004,100.0,110.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf
pagnocca1996,10,Sesamin,Episesamin,C006,C008,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Sesamin,Philygenol,C006,C009,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Sesamin,Lignan 5,C006,C010,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Sesamin,Lignan 8,C006,C013,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Epigalgravin,Episesamin,C012,C008,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Epigalgravin,Philygenol,C012,C009,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Epigalgravin,Lignan 5,C012,C010,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,10,Epigalgravin,Lignan 8,C012,C013,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
souza2005,10,Syringaldehyde,Germanicol,C024,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Syringaldehyde,β-Amyrin,C024,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Syringaldehyde,β-Sitosterol,C024,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Syringaldehyde,Stigmast-4-en-3-one,C024,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Syringaldehyde,3β-Hydroxystigmast-5-en-7-one,C024,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Syringaldehyde,Syringaresinol,C024,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Syringaldehyde,1-Methyl-4-methoxy-2-quinolone,C024,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,Germanicol,C025,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,β-Amyrin,C025,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,β-Sitosterol,C025,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,Stigmast-4-en-3-one,C025,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,3β-Hydroxystigmast-5-en-7-one,C025,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,Syringaresinol,C025,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Vanillic acid,1-Methyl-4-methoxy-2-quinolone,C025,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,Germanicol,C028,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,β-Amyrin,C028,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,β-Sitosterol,C028,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,Stigmast-4-en-3-one,C028,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,3β-Hydroxystigmast-5-en-7-one,C028,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,Syringaresinol,C028,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,10,Platydesmine,1-Methyl-4-methoxy-2-quinolone,C028,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
coumarins2005,10,Suberosin,Clausarin,C037,C039,64.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,10,Xanthoxyletin,Clausarin,C038,C039,70.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,10,Umbelliferone,Clausarin,C041,C039,65.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,10,Xanthyletin,Clausarin,C042,C039,25.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,10,"7-Hydroxy-3-(1,1-dimethylallyl)-8-methoxycoumarin",Clausarin,C043,C039,75.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
raulinoa2002,10,Skimmianine,Kokusaginine,C045,C046,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532002000100010,../../sources/raulinoa2002.pdf
raulinoa2002,10,Skimmianine,Maculine,C045,C047,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532002000100010,../../sources/raulinoa2002.pdf
raulinoa2002,10,Skimmianine,2-n-Nonyl-4-quinolone,C045,C049,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532002000100010,../../sources/raulinoa2002.pdf
howard1988terpenoids,20,Caryophyllene oxide,Kolavenol,C003,C004,100.0,110.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF01022531,../../sources/howard1988terpenoids.pdf
pagnocca1996,20,Sesamin,Episesamin,C006,C008,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Sesamin,Philygenol,C006,C009,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Sesamin,Lignan 5,C006,C010,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Sesamin,Lignan 8,C006,C013,70.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Epigalgravin,Episesamin,C012,C008,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Epigalgravin,Philygenol,C012,C009,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Epigalgravin,Lignan 5,C012,C010,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
pagnocca1996,20,Epigalgravin,Lignan 8,C012,C013,200.0,200.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1007/BF02266969,../../sources/pagnocca1996.pdf
souza2005,20,Syringaldehyde,Germanicol,C024,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Syringaldehyde,β-Amyrin,C024,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Syringaldehyde,β-Sitosterol,C024,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Syringaldehyde,Stigmast-4-en-3-one,C024,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Syringaldehyde,3β-Hydroxystigmast-5-en-7-one,C024,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Syringaldehyde,Syringaresinol,C024,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Syringaldehyde,1-Methyl-4-methoxy-2-quinolone,C024,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,Germanicol,C025,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,β-Amyrin,C025,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,β-Sitosterol,C025,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,Stigmast-4-en-3-one,C025,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,3β-Hydroxystigmast-5-en-7-one,C025,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,Syringaresinol,C025,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Vanillic acid,1-Methyl-4-methoxy-2-quinolone,C025,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,Germanicol,C028,C018,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,β-Amyrin,C028,C019,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,β-Sitosterol,C028,C020,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,Stigmast-4-en-3-one,C028,C021,50.0,100.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,3β-Hydroxystigmast-5-en-7-one,C028,C022,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,Syringaresinol,C028,C023,50.0,50.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
souza2005,20,Platydesmine,1-Methyl-4-methoxy-2-quinolone,C028,C027,50.0,60.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1515/znb-2005-0715,../../sources/souza2005.pdf
coumarins2005,20,Suberosin,Clausarin,C037,C039,64.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,20,Xanthoxyletin,Clausarin,C038,C039,70.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,20,Xanthyletin,Clausarin,C042,C039,25.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
coumarins2005,20,"7-Hydroxy-3-(1,1-dimethylallyl)-8-methoxycoumarin",Clausarin,C043,C039,75.0,75.0,"Ordering of scenario C50 constraints in this source, not statistically established potency superiority.",https://doi.org/10.1590/S0103-50532005000400031,../../sources/coumarins2005.pdf
