comparison_block,source_id,route,endpoint_family,dose_ug_ml,record_count,compound_count,compounds,record_ids
lobo2020papaya|Agar contact|radial_growth_inhibition|500.0|Five weeks,lobo2020papaya,Agar contact,radial_growth_inhibition,500.0,2,2,"[""Carpaine"", ""Squalene""]","[""F073"", ""F074""]"
melo2020|agar_contact|fitted_IC50||Seven days; citral recovery: further seven days on untreated PDA.,melo2020,agar_contact,fitted_IC50,,2,2,"[""Citral (isomer composition unspecified)"", ""Isopulegol""]","[""F100"", ""F102""]"
melo2020|fumigation|fitted_IC50||Seven days; citral recovery: further seven days on untreated PDA.,melo2020,fumigation,fitted_IC50,,2,2,"[""Citral (isomer composition unspecified)"", ""Isopulegol""]","[""F090"", ""F092""]"
napal2015|broth_contact|MIC||MIC incubation duration not clearly restated separately from 48-hour TLC screen; do not inherit automatically.,napal2015,broth_contact,MIC,,2,2,"[""Argentilactone"", ""Carbendazim""]","[""M019"", ""M020""]"
"souza2005|agar_contact|coarse_visual_growth|60|Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",souza2005,agar_contact,coarse_visual_growth,60,2,2,"[""1-Methyl-4-methoxy-2-quinolone"", ""3β-Hydroxystigmast-5-en-7-one""]","[""F082"", ""F087""]"
bigi2004|agar_contact|outcome_ambiguous_hold|1000|30 days at 25±1°C,bigi2004,agar_contact,outcome_ambiguous_hold,1000,1,1,"[""Ricinine""]","[""F040""]"
coumarins2005|agar_contact|coarse_visual_growth|25|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,25,1,1,"[""Xanthyletin""]","[""M007""]"
coumarins2005|agar_contact|coarse_visual_growth|50|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,50,1,1,"[""Piperonyl butoxide""]","[""M009""]"
coumarins2005|agar_contact|coarse_visual_growth|64|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,64,1,1,"[""Suberosin""]","[""M002""]"
coumarins2005|agar_contact|coarse_visual_growth|65|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,65,1,1,"[""Umbelliferone""]","[""M006""]"
coumarins2005|agar_contact|coarse_visual_growth|70|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,70,1,1,"[""Xanthoxyletin""]","[""M003""]"
coumarins2005|agar_contact|coarse_visual_growth|72|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,72,1,1,"[""Angelicin""]","[""M001""]"
coumarins2005|agar_contact|coarse_visual_growth|80|30 days at 25±1°C,coumarins2005,agar_contact,coarse_visual_growth,80,1,1,"[""Isopimpinellin""]","[""M005""]"
howard1988terpenoids|agar_contact|ordinal_growth|10.0|Table 1 endpoint is day 7; growth was also followed through day 28.,howard1988terpenoids,agar_contact,ordinal_growth,10.0,1,1,"[""Caryophyllene oxide""]","[""F009""]"
howard1988terpenoids|agar_contact|ordinal_growth|100.0|Table 1 endpoint is day 7; growth was also followed through day 28.,howard1988terpenoids,agar_contact,ordinal_growth,100.0,1,1,"[""Caryophyllene oxide""]","[""F008""]"
howard1988terpenoids|agar_contact|ordinal_growth|11.0|Table 1 endpoint is day 7; growth was also followed through day 28.,howard1988terpenoids,agar_contact,ordinal_growth,11.0,1,1,"[""Kolavenol""]","[""F011""]"
howard1988terpenoids|agar_contact|ordinal_growth|110.0|Table 1 endpoint is day 7; growth was also followed through day 28.,howard1988terpenoids,agar_contact,ordinal_growth,110.0,1,1,"[""Kolavenol""]","[""F010""]"
hubbell1983|agar_contact|culture_damage_incidence|100|Visible culture damage within 48 h,hubbell1983,agar_contact,culture_damage_incidence,100,1,1,"[""Caryophyllene oxide""]","[""F022""]"
hubbell1983|agar_contact|culture_damage_incidence|30000|Visible culture damage within 48 h,hubbell1983,agar_contact,culture_damage_incidence,30000,1,1,"[""Caryophyllene oxide""]","[""F024""]"
hubbell1983|agar_contact|culture_damage_incidence|3000|Visible culture damage within 48 h,hubbell1983,agar_contact,culture_damage_incidence,3000,1,1,"[""Caryophyllene oxide""]","[""F023""]"
lobo2020papaya|Agar contact|qualitative_null|500.0|Five weeks,lobo2020papaya,Agar contact,qualitative_null,500.0,1,1,"[""Quercetin""]","[""F076""]"
melo2020|fumigation|recovery_after_exposure||Seven days; citral recovery: further seven days on untreated PDA.,melo2020,fumigation,recovery_after_exposure,,1,1,"[""Citral (isomer composition unspecified)""]","[""F109""]"
pagnocca1996|agar_contact|coarse_visual_growth|160|30–35 days at 25±1°C,pagnocca1996,agar_contact,coarse_visual_growth,160,1,1,"[""Eudesmin""]","[""F015""]"
pagnocca1996|agar_contact|coarse_visual_growth|210|30–35 days at 25±1°C,pagnocca1996,agar_contact,coarse_visual_growth,210,1,1,"[""Lignan 6""]","[""F019""]"
pagnocca1996|agar_contact|coarse_visual_growth|70|30–35 days at 25±1°C,pagnocca1996,agar_contact,coarse_visual_growth,70,1,1,"[""Sesamin""]","[""F014""]"
salazar2020|agar_contact|fitted_IC50||Growth followed for five weeks; dose-response endpoint reported over this assay.,salazar2020,agar_contact,fitted_IC50,,1,1,"[""Dillapiol""]","[""F003""]"
salazar2020|agar_contact|secondary_fit_same_curve||Growth followed for five weeks; dose-response endpoint reported over this assay.,salazar2020,agar_contact,secondary_fit_same_curve,,1,1,"[""Dillapiol""]","[""F004""]"
"souza2005|agar_contact|coarse_visual_growth|40|Not restated; cited1990 protocol reads30–35 days, not independently confirmed for this run.",souza2005,agar_contact,coarse_visual_growth,40,1,1,"[""Dictamnine""]","[""F086""]"
