# exploratory, not prespecified; post hoc, outside the frozen analysis plan at commit 98b5e09199a5eef0c46be452793e953f5a2af31e
level,structure_id,inchikey,inchikey_first_block,members,labels,tested,distinct_organisms,distinct_genera,distinct_families,distinct_references,lotus_rows
structure,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,ZQPPMHVWECSIRJ,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,unknown,false,647,417,206,396,7243
structure,INAPMGSXUVUWAF-UOTPTPDRSA-N,INAPMGSXUVUWAF-UOTPTPDRSA-N,INAPMGSXUVUWAF,INAPMGSXUVUWAF-UOTPTPDRSA-N,unknown,false,16,8,9,10,208
structure,HZAXFHJVJLSVMW-UHFFFAOYSA-N,HZAXFHJVJLSVMW-UHFFFAOYSA-N,HZAXFHJVJLSVMW,HZAXFHJVJLSVMW-UHFFFAOYSA-N,unknown,false,46,38,27,37,610
structure,HXEACLLIILLPRG-UHFFFAOYSA-N,HXEACLLIILLPRG-UHFFFAOYSA-N,HXEACLLIILLPRG,HXEACLLIILLPRG-UHFFFAOYSA-N,unknown,false,64,19,11,16,642
structure,VZCYOOQTPOCHFL-OWOJBTEDSA-N,VZCYOOQTPOCHFL-OWOJBTEDSA-N,VZCYOOQTPOCHFL,VZCYOOQTPOCHFL-OWOJBTEDSA-N,unknown,false,88,66,53,81,1076
structure,XSQUKJJJFZCRTK-UHFFFAOYSA-N,XSQUKJJJFZCRTK-UHFFFAOYSA-N,XSQUKJJJFZCRTK,XSQUKJJJFZCRTK-UHFFFAOYSA-N,unknown,false,21,17,19,25,325
structure,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP,PVNIIMVLHYAWGP-UHFFFAOYSA-N,unknown,false,58,48,38,59,921
structure,QZZGJDVWLFXDLK-UHFFFAOYSA-N,QZZGJDVWLFXDLK-UHFFFAOYSA-N,QZZGJDVWLFXDLK,QZZGJDVWLFXDLK-UHFFFAOYSA-N,unknown,false,125,96,68,91,1360
structure,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,JVTAAEKCZFNVCJ,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,unknown,false,25,22,20,23,339
structure,KDYFGRWQOYBRFD-UHFFFAOYSA-N,KDYFGRWQOYBRFD-UHFFFAOYSA-N,KDYFGRWQOYBRFD,KDYFGRWQOYBRFD-UHFFFAOYSA-N,unknown,false,125,107,87,122,1686
structure,BJEPYKJPYRNKOW-UHFFFAOYSA-N,BJEPYKJPYRNKOW-UHFFFAOYSA-N,BJEPYKJPYRNKOW,BJEPYKJPYRNKOW-UHFFFAOYSA-N,unknown,false,83,58,52,72,1126
structure,MEFKEPWMEQBLKI-AIRLBKTGSA-O,MEFKEPWMEQBLKI-AIRLBKTGSA-O,MEFKEPWMEQBLKI,MEFKEPWMEQBLKI-AIRLBKTGSA-O,unknown,false,4,4,4,5,52
structure,VZXPDPZARILFQX-BYPYZUCNSA-N,VZXPDPZARILFQX-BYPYZUCNSA-N,VZXPDPZARILFQX,VZXPDPZARILFQX-BYPYZUCNSA-N,unknown,false,4,4,4,5,66
structure,BTCSSZJGUNDROE-UHFFFAOYSA-N,BTCSSZJGUNDROE-UHFFFAOYSA-N,BTCSSZJGUNDROE,BTCSSZJGUNDROE-UHFFFAOYSA-N,unknown,false,106,64,48,69,1320
structure,WHUUTDBJXJRKMK-VKHMYHEASA-N,WHUUTDBJXJRKMK-VKHMYHEASA-N,WHUUTDBJXJRKMK,WHUUTDBJXJRKMK-VKHMYHEASA-N,unknown,false,161,119,87,89,1743
structure,COLNVLDHVKWLRT-UHFFFAOYSA-N,COLNVLDHVKWLRT-UHFFFAOYSA-N,COLNVLDHVKWLRT,COLNVLDHVKWLRT-UHFFFAOYSA-N,unknown,false,29,25,26,31,376
structure,CZMRCDWAGMRECN-UGDNZRGBSA-N,CZMRCDWAGMRECN-UGDNZRGBSA-N,CZMRCDWAGMRECN,CZMRCDWAGMRECN-UGDNZRGBSA-N,unknown,false,345,255,123,263,4121
structure,JFCQEDHGNNZCLN-UHFFFAOYSA-N,JFCQEDHGNNZCLN-UHFFFAOYSA-N,JFCQEDHGNNZCLN,JFCQEDHGNNZCLN-UHFFFAOYSA-N,unknown,false,10,10,10,11,135
structure,ROHFNLRQFUQHCH-UHFFFAOYSA-N,ROHFNLRQFUQHCH-UHFFFAOYSA-N,ROHFNLRQFUQHCH,ROHFNLRQFUQHCH-UHFFFAOYSA-N,unknown,false,26,25,23,26,294
structure,QIQXTHQIDYTFRH-UHFFFAOYSA-N,QIQXTHQIDYTFRH-UHFFFAOYSA-N,QIQXTHQIDYTFRH,QIQXTHQIDYTFRH-UHFFFAOYSA-N,unknown,false,730,466,235,454,8488
structure,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OYHQOLUKZRVURQ,OYHQOLUKZRVURQ-HZJYTTRNSA-N,unknown,false,621,400,185,395,7141
structure,AEMRFAOFKBGASW-UHFFFAOYSA-N,AEMRFAOFKBGASW-UHFFFAOYSA-N,AEMRFAOFKBGASW,AEMRFAOFKBGASW-UHFFFAOYSA-N,unknown,false,13,13,13,18,209
structure,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,MUPFEKGTMRGPLJ,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,unknown,false,90,67,41,54,1170
structure,MTCFGRXMJLQNBG-UHFFFAOYSA-N,MTCFGRXMJLQNBG-UHFFFAOYSA-N,MTCFGRXMJLQNBG,MTCFGRXMJLQNBG-UHFFFAOYSA-N,unknown,false,25,23,23,25,319
structure,DHCLVCXQIBBOPH-UHFFFAOYSA-N,DHCLVCXQIBBOPH-UHFFFAOYSA-N,DHCLVCXQIBBOPH,DHCLVCXQIBBOPH-UHFFFAOYSA-N,unknown,false,6,6,6,9,98
structure,ONIBWKKTOPOVIA-UHFFFAOYSA-N,ONIBWKKTOPOVIA-UHFFFAOYSA-N,ONIBWKKTOPOVIA,ONIBWKKTOPOVIA-UHFFFAOYSA-N,unknown,false,23,23,23,24,277
structure,NBIIXXVUZAFLBC-UHFFFAOYSA-N,NBIIXXVUZAFLBC-UHFFFAOYSA-N,NBIIXXVUZAFLBC,NBIIXXVUZAFLBC-UHFFFAOYSA-N,unknown,false,34,26,27,33,459
structure,IPCSVZSSVZVIGE-UHFFFAOYSA-N,IPCSVZSSVZVIGE-UHFFFAOYSA-N,IPCSVZSSVZVIGE,IPCSVZSSVZVIGE-UHFFFAOYSA-N,unknown,false,957,589,277,649,11633
structure,HDTRYLNUVZCQOY-LIZSDCNHSA-N,HDTRYLNUVZCQOY-LIZSDCNHSA-N,HDTRYLNUVZCQOY,HDTRYLNUVZCQOY-LIZSDCNHSA-N,unknown,false,38,26,27,35,422
structure,SGMJBNSHAZVGMC-STHAYSLISA-N,SGMJBNSHAZVGMC-STHAYSLISA-N,SGMJBNSHAZVGMC,SGMJBNSHAZVGMC-STHAYSLISA-N,unknown,false,2,2,2,3,46
structure,KRKNYBCHXYNGOX-UHFFFAOYSA-N,KRKNYBCHXYNGOX-UHFFFAOYSA-N,KRKNYBCHXYNGOX,KRKNYBCHXYNGOX-UHFFFAOYSA-N,unknown,false,106,80,64,104,1589
structure,HCXVJBMSMIARIN-PHZDYDNGSA-N,HCXVJBMSMIARIN-PHZDYDNGSA-N,HCXVJBMSMIARIN,HCXVJBMSMIARIN-PHZDYDNGSA-N,unknown,false,1438,826,244,1152,15092
structure,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HWXBTNAVRSUOJR,HWXBTNAVRSUOJR-UHFFFAOYSA-N,unknown,false,3,3,3,3,32
structure,QNAYBMKLOCPYGJ-REOHCLBHSA-N,QNAYBMKLOCPYGJ-REOHCLBHSA-N,QNAYBMKLOCPYGJ,QNAYBMKLOCPYGJ-REOHCLBHSA-N,inactive,true,189,139,104,91,1964
structure,WQZGKKKJIJFFOK-GASJEMHNSA-N,WQZGKKKJIJFFOK-GASJEMHNSA-N,WQZGKKKJIJFFOK,WQZGKKKJIJFFOK-GASJEMHNSA-N,unknown,false,225,162,91,156,2688
structure,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KPGXRSRHYNQIFN-UHFFFAOYSA-N,KPGXRSRHYNQIFN,KPGXRSRHYNQIFN-UHFFFAOYSA-N,unknown,false,20,19,20,23,305
structure,UCMIRNVEIXFBKS-UHFFFAOYSA-N,UCMIRNVEIXFBKS-UHFFFAOYSA-N,UCMIRNVEIXFBKS,UCMIRNVEIXFBKS-UHFFFAOYSA-N,unknown,false,47,29,27,44,673
structure,ATHGHQPFGPMSJY-UHFFFAOYSA-N,ATHGHQPFGPMSJY-UHFFFAOYSA-N,ATHGHQPFGPMSJY,ATHGHQPFGPMSJY-UHFFFAOYSA-N,unknown,false,85,56,40,56,1183
structure,OUYCCCASQSFEME-UHFFFAOYSA-N,OUYCCCASQSFEME-UHFFFAOYSA-N,OUYCCCASQSFEME,OUYCCCASQSFEME-UHFFFAOYSA-N,unknown,false,23,22,23,24,283
structure,DCXYFEDJOCDNAF-UHFFFAOYSA-N,DCXYFEDJOCDNAF-UHFFFAOYSA-N,DCXYFEDJOCDNAF,DCXYFEDJOCDNAF-UHFFFAOYSA-N,unknown,false,23,20,20,23,301
structure,KDXKERNSBIXSRK-UHFFFAOYSA-N,KDXKERNSBIXSRK-UHFFFAOYSA-N,KDXKERNSBIXSRK,KDXKERNSBIXSRK-UHFFFAOYSA-N,unknown,false,15,14,14,16,177
structure,MUBZPKHOEPUJKR-UHFFFAOYSA-N,MUBZPKHOEPUJKR-UHFFFAOYSA-N,MUBZPKHOEPUJKR,MUBZPKHOEPUJKR-UHFFFAOYSA-N,unknown,false,98,73,52,66,1112
structure,JXOHGGNKMLTUBP-HSUXUTPPSA-N,JXOHGGNKMLTUBP-HSUXUTPPSA-N,JXOHGGNKMLTUBP,JXOHGGNKMLTUBP-HSUXUTPPSA-N,unknown,false,87,56,44,73,1044
structure,SGNBVLSWZMBQTH-PODYLUTMSA-N,SGNBVLSWZMBQTH-PODYLUTMSA-N,SGNBVLSWZMBQTH,SGNBVLSWZMBQTH-PODYLUTMSA-N,unknown,false,507,331,156,344,5611
structure,POJWUDADGALRAB-UHFFFAOYSA-N,POJWUDADGALRAB-UHFFFAOYSA-N,POJWUDADGALRAB,POJWUDADGALRAB-UHFFFAOYSA-N,unknown,false,63,35,30,51,656
structure,VCWMRQDBPZKXKG-DXNLKLAMSA-N,VCWMRQDBPZKXKG-DXNLKLAMSA-N,VCWMRQDBPZKXKG,VCWMRQDBPZKXKG-DXNLKLAMSA-N,unknown,false,20,12,12,16,283
structure,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WPYMKLBDIGXBTP-UHFFFAOYSA-N,WPYMKLBDIGXBTP,WPYMKLBDIGXBTP-UHFFFAOYSA-N,unknown,false,198,115,70,178,3033
structure,AWUCVROLDVIAJX-UHFFFAOYSA-N,AWUCVROLDVIAJX-UHFFFAOYSA-N,AWUCVROLDVIAJX,AWUCVROLDVIAJX-UHFFFAOYSA-N,unknown,false,8,9,10,14,182
structure,CKLJMWTZIZZHCS-UHFFFAOYSA-N,CKLJMWTZIZZHCS-UHFFFAOYSA-N,CKLJMWTZIZZHCS,CKLJMWTZIZZHCS-UHFFFAOYSA-N,unknown,false,21,19,20,21,267
structure,OIVLITBTBDPEFK-UHFFFAOYSA-N,OIVLITBTBDPEFK-UHFFFAOYSA-N,OIVLITBTBDPEFK,OIVLITBTBDPEFK-UHFFFAOYSA-N,unknown,false,7,7,6,8,102
structure,KIDHWZJUCRJVML-UHFFFAOYSA-N,KIDHWZJUCRJVML-UHFFFAOYSA-N,KIDHWZJUCRJVML,KIDHWZJUCRJVML-UHFFFAOYSA-N,unknown,false,105,72,50,70,1361
structure,TUNFSRHWOTWDNC-UHFFFAOYSA-N,TUNFSRHWOTWDNC-UHFFFAOYSA-N,TUNFSRHWOTWDNC,TUNFSRHWOTWDNC-UHFFFAOYSA-N,unknown,false,394,264,165,283,4711
structure,TWNIBLMWSKIRAT-VFUOTHLCSA-N,TWNIBLMWSKIRAT-VFUOTHLCSA-N,TWNIBLMWSKIRAT,TWNIBLMWSKIRAT-VFUOTHLCSA-N,unknown,false,13,5,5,9,166
structure,DZGWFCGJZKJUFP-UHFFFAOYSA-N,DZGWFCGJZKJUFP-UHFFFAOYSA-N,DZGWFCGJZKJUFP,DZGWFCGJZKJUFP-UHFFFAOYSA-N,unknown,false,146,79,38,86,1963
structure,UDMBCSSLTHHNCD-KQYNXXCUSA-N,UDMBCSSLTHHNCD-KQYNXXCUSA-N,UDMBCSSLTHHNCD,UDMBCSSLTHHNCD-KQYNXXCUSA-N,unknown,false,30,28,29,29,293
structure,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,ZDXPYRJPNDTMRX,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,unknown,false,16,17,17,17,209
structure,SBJKKFFYIZUCET-UHFFFAOYSA-N,SBJKKFFYIZUCET-UHFFFAOYSA-N,SBJKKFFYIZUCET,SBJKKFFYIZUCET-UHFFFAOYSA-N,unknown,false,7,7,8,6,85
structure,AHLPHDHHMVZTML-UHFFFAOYSA-N,AHLPHDHHMVZTML-UHFFFAOYSA-N,AHLPHDHHMVZTML,AHLPHDHHMVZTML-UHFFFAOYSA-N,unknown,false,11,10,11,14,156
structure,PCMORTLOPMLEFB-ONEGZZNKSA-N,PCMORTLOPMLEFB-ONEGZZNKSA-N,PCMORTLOPMLEFB,PCMORTLOPMLEFB-ONEGZZNKSA-N,unknown,false,110,71,33,96,1537
structure,AVXURJPOCDRRFD-UHFFFAOYSA-N,AVXURJPOCDRRFD-UHFFFAOYSA-N,AVXURJPOCDRRFD,AVXURJPOCDRRFD-UHFFFAOYSA-N,unknown,false,12,5,4,8,130
structure,JRLGPAXAGHMNOL-LURJTMIESA-N,JRLGPAXAGHMNOL-LURJTMIESA-N,JRLGPAXAGHMNOL,JRLGPAXAGHMNOL-LURJTMIESA-N,unknown,false,6,6,6,6,66
structure,DMCPFOBLJMLSNX-UHFFFAOYSA-N,DMCPFOBLJMLSNX-UHFFFAOYSA-N,DMCPFOBLJMLSNX,DMCPFOBLJMLSNX-UHFFFAOYSA-N,unknown,false,16,10,5,21,372
structure,ODKSFYDXXFIFQN-UHFFFAOYSA-N,ODKSFYDXXFIFQN-UHFFFAOYSA-N,ODKSFYDXXFIFQN,ODKSFYDXXFIFQN-UHFFFAOYSA-N,unknown,false,18,18,19,21,230
structure,VZCCETWTMQHEPK-QNEBEIHSSA-N,VZCCETWTMQHEPK-QNEBEIHSSA-N,VZCCETWTMQHEPK,VZCCETWTMQHEPK-QNEBEIHSSA-N,unknown,false,152,78,49,40,1727
structure,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,QNAYBMKLOCPYGJ,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,unknown,false,26,25,25,26,312
structure,FFFHZYDWPBMWHY-UHFFFAOYSA-N,FFFHZYDWPBMWHY-UHFFFAOYSA-N,FFFHZYDWPBMWHY,FFFHZYDWPBMWHY-UHFFFAOYSA-N,unknown,false,3,3,3,10,104
structure,WHUUTDBJXJRKMK-UHFFFAOYSA-N,WHUUTDBJXJRKMK-UHFFFAOYSA-N,WHUUTDBJXJRKMK,WHUUTDBJXJRKMK-UHFFFAOYSA-N,unknown,false,25,22,21,24,309
structure,UKAUYVFTDYCKQA-UHFFFAOYSA-N,UKAUYVFTDYCKQA-UHFFFAOYSA-N,UKAUYVFTDYCKQA,UKAUYVFTDYCKQA-UHFFFAOYSA-N,unknown,false,7,6,7,8,88
structure,ISAKRJDGNUQOIC-UHFFFAOYSA-N,ISAKRJDGNUQOIC-UHFFFAOYSA-N,ISAKRJDGNUQOIC,ISAKRJDGNUQOIC-UHFFFAOYSA-N,unknown,false,96,81,65,89,1266
structure,DTOSIQBPPRVQHS-PDBXOOCHSA-N,DTOSIQBPPRVQHS-PDBXOOCHSA-N,DTOSIQBPPRVQHS,DTOSIQBPPRVQHS-PDBXOOCHSA-N,unknown,false,455,292,139,247,5135
structure,UCUNFLYVYCGDHP-BYPYZUCNSA-N,UCUNFLYVYCGDHP-BYPYZUCNSA-N,UCUNFLYVYCGDHP,UCUNFLYVYCGDHP-BYPYZUCNSA-N,unknown,false,3,3,3,3,39
structure,OSELKOCHBMDKEJ-SISSHIJISA-N,OSELKOCHBMDKEJ-SISSHIJISA-N,OSELKOCHBMDKEJ,OSELKOCHBMDKEJ-SISSHIJISA-N,unknown,false,75,50,37,45,736
structure,LGJMUZUPVCAVPU-HRJGVYIJSA-N,LGJMUZUPVCAVPU-HRJGVYIJSA-N,LGJMUZUPVCAVPU,LGJMUZUPVCAVPU-HRJGVYIJSA-N,unknown,false,56,50,42,49,409
structure,OSELKOCHBMDKEJ-JUGJNGJRSA-N,OSELKOCHBMDKEJ-JUGJNGJRSA-N,OSELKOCHBMDKEJ,OSELKOCHBMDKEJ-JUGJNGJRSA-N,unknown,false,116,75,52,73,1063
structure,OILXMJHPFNGGTO-ZAUYPBDWSA-N,OILXMJHPFNGGTO-ZAUYPBDWSA-N,OILXMJHPFNGGTO,OILXMJHPFNGGTO-ZAUYPBDWSA-N,unknown,false,125,92,74,76,1021
structure,OSELKOCHBMDKEJ-WGMIZEQOSA-N,OSELKOCHBMDKEJ-WGMIZEQOSA-N,OSELKOCHBMDKEJ,OSELKOCHBMDKEJ-WGMIZEQOSA-N,unknown,false,109,79,52,79,1235
structure,IJSLGIMUXIRGLK-UNOJTMJMSA-N,IJSLGIMUXIRGLK-UNOJTMJMSA-N,IJSLGIMUXIRGLK,IJSLGIMUXIRGLK-UNOJTMJMSA-N,unknown,false,21,18,16,19,248
structure,ARYTXMNEANMLMU-ATEDBJNTSA-N,ARYTXMNEANMLMU-ATEDBJNTSA-N,ARYTXMNEANMLMU,ARYTXMNEANMLMU-ATEDBJNTSA-N,unknown,false,35,31,28,29,290
structure,FIGVVZUWCLSUEI-UHFFFAOYSA-N,FIGVVZUWCLSUEI-UHFFFAOYSA-N,FIGVVZUWCLSUEI,FIGVVZUWCLSUEI-UHFFFAOYSA-N,unknown,false,95,65,44,61,1003
structure,ODBLHEXUDAPZAU-UHFFFAOYSA-N,ODBLHEXUDAPZAU-UHFFFAOYSA-N,ODBLHEXUDAPZAU,ODBLHEXUDAPZAU-UHFFFAOYSA-N,unknown,false,18,18,20,18,239
structure,GTZCVFVGUGFEME-IWQZZHSRSA-N,GTZCVFVGUGFEME-IWQZZHSRSA-N,GTZCVFVGUGFEME,GTZCVFVGUGFEME-IWQZZHSRSA-N,unknown,false,25,17,13,17,280
structure,KDXKERNSBIXSRK-YFKPBYRVSA-N,KDXKERNSBIXSRK-YFKPBYRVSA-N,KDXKERNSBIXSRK,KDXKERNSBIXSRK-YFKPBYRVSA-N,unknown,false,148,109,79,79,1603
structure,XUJNEKJLAYXESH-UHFFFAOYSA-N,XUJNEKJLAYXESH-UHFFFAOYSA-N,XUJNEKJLAYXESH,XUJNEKJLAYXESH-UHFFFAOYSA-N,unknown,false,9,8,8,9,134
structure,HOWGUJZVBDQJKV-UHFFFAOYSA-N,HOWGUJZVBDQJKV-UHFFFAOYSA-N,HOWGUJZVBDQJKV,HOWGUJZVBDQJKV-UHFFFAOYSA-N,unknown,false,83,59,43,54,871
structure,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,ZJTJUVIJVLLGSP,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,unknown,false,10,10,12,10,128
structure,QAIPRVGONGVQAS-DUXPYHPUSA-N,QAIPRVGONGVQAS-DUXPYHPUSA-N,QAIPRVGONGVQAS,QAIPRVGONGVQAS-DUXPYHPUSA-N,unknown,false,837,414,133,654,12138
structure,SUHOOTKUPISOBE-UHFFFAOYSA-N,SUHOOTKUPISOBE-UHFFFAOYSA-N,SUHOOTKUPISOBE,SUHOOTKUPISOBE-UHFFFAOYSA-N,unknown,false,13,13,13,15,186
structure,AGPKZVBTJJNPAG-WHFBIAKZSA-N,AGPKZVBTJJNPAG-WHFBIAKZSA-N,AGPKZVBTJJNPAG,AGPKZVBTJJNPAG-WHFBIAKZSA-N,unknown,false,126,99,72,67,1439
structure,MTCFGRXMJLQNBG-REOHCLBHSA-N,MTCFGRXMJLQNBG-REOHCLBHSA-N,MTCFGRXMJLQNBG,MTCFGRXMJLQNBG-REOHCLBHSA-N,unknown,false,138,102,70,73,1521
structure,BOTWFXYSPFMFNR-PYDDKJGSSA-N,BOTWFXYSPFMFNR-PYDDKJGSSA-N,BOTWFXYSPFMFNR,BOTWFXYSPFMFNR-PYDDKJGSSA-N,unknown,false,351,241,107,254,3427
structure,LEVWYRKDKASIDU-IMJSIDKUSA-N,LEVWYRKDKASIDU-IMJSIDKUSA-N,LEVWYRKDKASIDU,LEVWYRKDKASIDU-IMJSIDKUSA-N,unknown,false,29,24,20,21,317
structure,AAWZDTNXLSGCEK-LNVDRNJUSA-N,AAWZDTNXLSGCEK-LNVDRNJUSA-N,AAWZDTNXLSGCEK,AAWZDTNXLSGCEK-LNVDRNJUSA-N,unknown,false,51,35,26,38,533
structure,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU,SNRUBQQJIBEYMU-UHFFFAOYSA-N,unknown,false,81,54,43,54,841
structure,QZAYGJVTTNCVMB-UHFFFAOYSA-N,QZAYGJVTTNCVMB-UHFFFAOYSA-N,QZAYGJVTTNCVMB,QZAYGJVTTNCVMB-UHFFFAOYSA-N,inactive,true,40,32,34,41,569
structure,ZYURHZPYMFLWSH-UHFFFAOYSA-N,ZYURHZPYMFLWSH-UHFFFAOYSA-N,ZYURHZPYMFLWSH,ZYURHZPYMFLWSH-UHFFFAOYSA-N,unknown,false,86,59,44,57,937
structure,PCMORTLOPMLEFB-ARJAWSKDSA-N,PCMORTLOPMLEFB-ARJAWSKDSA-N,PCMORTLOPMLEFB,PCMORTLOPMLEFB-ARJAWSKDSA-N,unknown,false,8,7,3,5,108
structure,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,BJQWYEJQWHSSCJ,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,unknown,false,141,82,51,81,1570
structure,TYFQFVWCELRYAO-UHFFFAOYSA-N,TYFQFVWCELRYAO-UHFFFAOYSA-N,TYFQFVWCELRYAO,TYFQFVWCELRYAO-UHFFFAOYSA-N,unknown,false,18,16,16,22,267
structure,UBQKCCHYAOITMY-UHFFFAOYSA-N,UBQKCCHYAOITMY-UHFFFAOYSA-N,UBQKCCHYAOITMY,UBQKCCHYAOITMY-UHFFFAOYSA-N,unknown,false,18,11,10,12,209
structure,QIVBCDIJIAJPQS-UHFFFAOYSA-N,QIVBCDIJIAJPQS-UHFFFAOYSA-N,QIVBCDIJIAJPQS,QIVBCDIJIAJPQS-UHFFFAOYSA-N,unknown,false,21,21,22,22,277
structure,UYUXSRADSPPKRZ-SKNVOMKLSA-N,UYUXSRADSPPKRZ-SKNVOMKLSA-N,UYUXSRADSPPKRZ,UYUXSRADSPPKRZ-SKNVOMKLSA-N,unknown,false,4,5,4,5,37
structure,PHOQVHQSTUBQQK-SQOUGZDYSA-N,PHOQVHQSTUBQQK-SQOUGZDYSA-N,PHOQVHQSTUBQQK,PHOQVHQSTUBQQK-SQOUGZDYSA-N,unknown,false,17,9,10,10,191
structure,XFNJVJPLKCPIBV-UHFFFAOYSA-N,XFNJVJPLKCPIBV-UHFFFAOYSA-N,XFNJVJPLKCPIBV,XFNJVJPLKCPIBV-UHFFFAOYSA-N,unknown,false,11,11,9,10,101
structure,VQHSOMBJVWLPSR-WUJBLJFYSA-N,VQHSOMBJVWLPSR-WUJBLJFYSA-N,VQHSOMBJVWLPSR,VQHSOMBJVWLPSR-WUJBLJFYSA-N,unknown,false,9,2,2,3,98
structure,BXRLWGXPSRYJDZ-VKHMYHEASA-N,BXRLWGXPSRYJDZ-VKHMYHEASA-N,BXRLWGXPSRYJDZ,BXRLWGXPSRYJDZ-VKHMYHEASA-N,unknown,false,15,7,7,9,166
